"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AADAC",281.149950935192,-6.78436821382269,1.18824979015071,-4.8679732677159,1.12748576921526e-06,0.000134372976398683
"ACACB",20934.4242554714,-5.18996150712534,0.955604406827705,-4.38461928093723,1.16188804254753e-05,0.000953051485692011
"ADH1A",1129.85774853476,-8.59998323771574,1.26915279061284,-5.9882334845168,2.12132392236725e-09,6.4313331056892e-07
"ADH1B",121455.243509557,-7.89878996368326,1.44011779593402,-4.79043449304015,1.66420549338958e-06,0.000190457848551426
"ADH1C",639.461889115022,-5.74549508354042,0.954157451826376,-4.97349266041674,6.57572646225431e-07,8.5439946612193e-05
"ADRA1A",134.885667454895,-5.9925979386291,0.963551750097703,-5.18145282609145,2.20164274443025e-07,3.56979330190892e-05
"ADRB2",745.534635806452,-4.34414011933801,0.799041967410497,-4.1851870811937,2.84931335592774e-05,0.00201799115179456
"ABCD2",1515.18307558519,-6.45113849071109,0.98806167441578,-5.51700225993912,3.44831001787938e-08,7.5430690403764e-06
"ANGPT1",1271.08965962945,-3.73879005255585,0.630743600553432,-4.34216066584387,1.41088294441482e-05,0.00111841597075378
"ANK2",3490.9282083904,-3.12994660454617,0.548211898406248,-3.88526153981391,0.000102219783876793,0.00577274537638844
"AOX1",2219.04674833068,-4.20812537498984,0.585046165666246,-5.48354226257761,4.16892623388371e-08,8.67990533105355e-06
"APLP1",461.21281645092,4.01292489122301,0.59348068619185,5.07670251336376,3.84041442529846e-07,5.62425437996464e-05
"APOB",786.311864964263,-6.937966795921,1.03607113043167,-5.73123468216609,9.97022073443475e-09,2.53375565458481e-06
"AQP7",5638.39472753209,-8.18929863420616,1.06026844182259,-6.78064002532025,1.19644650936533e-11,9.57658714669965e-09
"ASPA",331.311076963058,-5.44378088702933,0.813481485830408,-5.46266997397376,4.69026080309959e-08,9.53557611039576e-06
"ATP1A2",5050.25301489267,-8.28626419842983,0.789972613702456,-9.22343898009382,2.87721091545103e-20,2.48605409149546e-16
"KIF1A",486.85875495772,5.55411782845066,1.1824907175838,3.85129266617513,0.000117495981330802,0.00640519890655391
"BMP3",206.472552960009,-5.63390271763678,1.08603485134243,-4.26680848400849,1.98289242140961e-05,0.00151621079355662
"BUB1",1267.38529933137,5.13328884072901,0.951452001763083,4.34419059823285,1.39790109243606e-05,0.00111323174093952
"BUB1B",818.37992473692,4.30918730175454,0.879048975136876,3.76450845783566,0.000166877020230555,0.00814633273052038
"C6",1609.18560299474,-6.06275967621786,1.35570966248432,-3.73439816526822,0.000188164607446181,0.00881212081647007
"CA3",925.817048303315,-4.76601796906524,1.01459115338293,-3.71185768425864,0.000205743664600554,0.00948121671456581
"CA4",703.689949509509,-9.39970053051768,0.686000379465145,-12.2444546416529,1.79882148263076e-34,3.10854340413422e-30
"CASQ2",402.70859374858,-4.37033978770205,0.90384117746666,-3.72890710417581,0.00019231202550268,0.00895780084288897
"CAV1",34051.5414263478,-3.41415002102934,0.602540320332753,-4.00661987183882,6.15938719777346e-05,0.00385653515089577
"CD36",87850.5157676665,-6.28737852460385,0.86788988405003,-6.09222278283757,1.11353568011649e-09,3.77313923295941e-07
"CDK1",1562.02927498266,3.54174885306258,0.668697343806798,3.80104523608957,0.00014408699146995,0.00740644029632327
"CDC20",1514.11708425023,5.07437319343986,1.02291043258277,3.98311823172277,6.80168957131415e-05,0.00415335680147986
"CDH2",244.946231089258,3.18537966473111,0.590380168242632,3.70164816212624,0.000214203514803624,0.00974118668242482
"CDO1",3072.63197290145,-4.62466646949126,0.941554487848594,-3.84966193276126,0.00011828096497428,0.00642771495509601
"CEBPA",6629.32748730235,-4.02784382088447,0.757081129673098,-3.99936506433844,6.35126468145148e-05,0.00393391415627824
"CES1",5781.81326884817,-4.89901852705544,0.577418063042971,-6.75250529314543,1.45313759789793e-11,1.09181177518583e-08
"CHIT1",570.601275579274,-5.84461999675423,1.20990088144332,-4.00414618342533,6.2241869429156e-05,0.00388303879279872
"CIDEA",4806.82629384398,-8.8016264284476,1.29278267698728,-6.03475477148922,1.59204269193799e-09,5.09483143692231e-07
"CKMT2",315.620655840062,-4.48977494143486,0.696610561751953,-5.00964977139909,5.45291769082324e-07,7.41983233189893e-05
"CMA1",155.286680594356,-5.47091239644187,1.04869505468042,-4.2633102697374,2.01420530921271e-05,0.00153336924883281
"CNTFR",1909.83744468076,-6.65284748666576,1.09870471970431,-5.14501065234986,2.67505631187121e-07,4.05505685310933e-05
"COL10A1",4375.94741759555,7.03381190159866,0.814682844268129,7.40633234644722,1.29840203847452e-13,3.2053836609826e-10
"COL11A1",9281.82763020736,9.66860817137227,1.12086350163439,7.7338660405412,1.04328814855657e-14,3.60581249904122e-11
"COMP",4512.9720154486,4.7293732498147,0.889586357781181,4.19225544231204,2.76194752148211e-05,0.00196416523122355
"CPA1",89.1090541511921,-8.84048262152347,1.2674112369932,-6.186218326519,6.16246447660956e-10,2.36652330267311e-07
"CPM",8707.12631331505,-4.07904842703915,0.812883863179408,-3.78780852531156,0.00015198190065599,0.0077005419781566
"CRHBP",297.38247177635,-6.39848124895713,0.914852563276317,-5.90093034185073,3.61457502830639e-09,1.0239913289207e-06
"HAPLN1",411.046589800237,6.07013306425178,1.33877998897538,3.78712940587956,0.000152397740670653,0.0077005419781566
"CSN1S1",28.5058179973372,-5.39637401415493,1.05457848588419,-4.16884477827069,3.06147386539539e-05,0.00213327943015717
"CST1",439.02464147324,10.038662927831,1.38589523708077,6.52189479117474,6.94247075888778e-11,3.87009152207547e-08
"CTSG",273.827889909128,-3.91296969456537,0.745887327381749,-3.90537496432689,9.40793933278414e-05,0.00540128237906454
"AKR1C1",6314.65575923952,-4.89503109992054,0.783147376297485,-4.97356081091048,6.57341406829993e-07,8.5439946612193e-05
"AKR1C2",7138.50577063993,-5.42710788122572,0.648696679714366,-6.82461930154332,8.81587855489818e-12,7.61735986535977e-09
"CFD",10647.416866439,-6.16551539472325,0.750207384755781,-6.8854499431578,5.76051682161249e-12,5.2393416418045e-09
"DPP6",84.1924650618496,-5.07286109856223,0.788150405163779,-5.16761911416626,2.37094863339463e-07,3.7589324159351e-05
"DPT",14240.1400023798,-4.69518470392792,0.80657795738499,-4.58131129185341,4.62069442596811e-06,0.000443612335417527
"EPYC",135.935250885001,7.12788601481562,1.2578033038549,4.87189530830056,1.10532738697124e-06,0.000134128477128899
"EBF1",3926.03822905075,-3.78646658334031,0.615973144563545,-4.52368192985863,6.07730333398323e-06,0.000555671317008276
"S1PR1",3850.45374803057,-2.69636799214356,0.452155902058148,-3.75173249850757,0.000175616788194304,0.00847718915303287
"EPAS1",27288.2616505069,-2.68287975966539,0.451776566059234,-3.72502667490005,0.000195294569723049,0.00907227274027958
"EPB42",110.708339990474,-8.17236481876813,1.29676933706157,-5.53094880776596,3.18503274806066e-08,7.05648088708158e-06
"FABP4",101855.522947024,-7.31285643726625,1.20518529116102,-5.23807955802774,1.62256120054222e-07,2.69610385640097e-05
"FGF2",3226.29195655846,-4.23013149147242,0.487600774708197,-6.6245413441057,3.4832801778202e-11,2.14980588403253e-08
"FHL1",46822.3501202284,-5.89254988510209,0.709406106987842,-6.89668419387591,5.32303342722181e-12,5.2393416418045e-09
"FIGF",1224.12644016094,-5.65919705387062,1.02615064066822,-4.5404610875033,5.61313381498755e-06,0.000524327380847567
"FOXM1",2525.68884162457,5.13177568052429,0.940521874225382,4.39306707664533,1.11762625440125e-05,0.000924626151667355
"FMO2",8609.53849817211,-5.27178949401472,0.700654236062214,-6.09685815648935,1.08173423014446e-09,3.73868984622527e-07
"GFRA2",166.988573585547,-4.05520753569113,0.670849093433357,-4.55423964286037,5.25753946525212e-06,0.000496478357918153
"GHR",10543.9583382114,-4.28294385259625,0.816561352253929,-4.02044971089366,5.80871486578966e-05,0.00365019642166222
"GJB2",2326.08495167314,6.02620659666778,0.6872672827032,7.31332150265965,2.60618437523428e-13,5.0041635764915e-10
"GPC3",5356.14795883989,-3.74467256950514,0.722196996454624,-3.80044860748405,0.000144434371845434,0.00740644029632327
"GLDC",154.519835661862,4.32615386681781,0.87602638419581,3.796864942454,0.000146537572895878,0.00749205857163809
"GNAL",512.314764611758,-3.05615154785649,0.493744876329359,-4.16440077949266,3.12171343755905e-05,0.00214899505238478
"GPD1",33990.4928300953,-8.21069143233929,1.21060262829551,-5.95628265113855,2.58039894456361e-09,7.6882541656903e-07
"GPLD1",245.321454235089,-4.44410613087795,0.6381817413839,-5.39674814796392,6.78595363519496e-08,1.26094693300865e-05
"GPX3",36022.7267424404,-4.73009852295485,0.857371551252625,-4.35062082186557,1.35752628291233e-05,0.00108608387476889
